id,type,x,y,z,cluster
383937,3,0.0539796,3.95495,-23.27,9
661215,5,-0.0981383,5.89928,-24.8611,5
635766,2,-1.70347,3.75059,-28.675,8
636042,4,-1.52193,0.228641,-25.2618,8
660091,1,-3.58286,3.76369,-26.9341,8
659773,1,-3.45826,1.99733,-25.1267,8
379143,5,-1.71136,2.08506,-26.8759,8
637857,2,-1.79204,5.59033,-26.7872,7
405347,3,-3.4102,5.58142,-25.1627,7
379233,2,-3.35424,0.0733868,-23.3772,6
655692,2,-1.56494,0.234582,-21.5239,6
658403,5,-3.40187,3.65492,-23.4421,6
378102,2,-3.41527,1.81945,-21.4589,6
381120,5,-1.67381,3.9622,-21.3651,6
633801,1,-1.74738,5.79871,-23.0823,6
644005,3,-8.79225,1.57232,-16.0542,14
384233,3,-8.87743,3.39442,-17.8302,14
381994,2,-7.02886,1.75123,-17.8577,14
638171,4,-5.38962,1.63884,-16.0858,14
634929,1,-5.40432,3.57989,-17.7386,14
383509,5,-9.03572,5.43282,-15.971,13
635765,5,-7.08902,5.37812,-17.7701,13
641004,3,-5.39116,5.47728,-15.9581,13
381709,4,-1.99138,5.69399,-19.6431,15
383508,2,-3.68713,7.32566,-19.517,15
384040,3,-3.55524,5.39276,-17.8975,15
410866,3,-3.53351,7.21208,-15.8443,16
404708,4,-3.79147,9.07752,-17.6922,13
379979,5,-1.78348,9.08951,-19.383,13
380105,2,-8.87348,3.56786,-14.0202,17
617485,5,-7.02452,1.71115,-14.3689,17
382507,5,-5.37237,3.56635,-14.1393,13
380515,4,-7.05586,5.54657,-14.1732,13
406546,3,-1.87372,5.53975,-16.1331,16
382988,2,-2.05743,9.03475,-15.942,13
635922,2,-0.175691,5.42905,-17.8647,15
611251,4,7.52328,-16.7222,-32.494,0
611180,2,4.57109,-14.571,-33.2553,0
611816,5,3.95079,-14.9489,-30.5394,0
633660,4,5.80077,-16.6983,-30.8269,0
357477,4,7.74078,-14.4475,-31.4412,0
637854,5,-0.265022,7.21233,-19.5995,15
631803,4,2.57703,-12.6357,-33.8271,18
373678,5,0.0242855,5.59194,-28.6977,7
638260,4,-0.0962749,7.3002,-15.9915,16
637256,4,-0.12927,9.26798,-17.565,13
637251,5,4.44676,-10.6228,-37.2162,1
635450,2,6.21682,-8.57472,-37.3695,1
355317,1,2.33947,-10.7458,-35.5705,18
356994,3,0.497974,-10.9392,-33.996,18
611804,3,0.408794,-9.18417,-32.1037,18
610846,4,2.03816,-9.0696,-33.8506,18
609645,5,4.13536,-8.95604,-35.5028,18
614049,4,4.23373,-8.81772,-32.8098,2
612854,5,4.71048,-12.6889,-35.1912,1
636065,5,7.6761,-12.6065,-33.4967,1
613085,4,7.51366,-10.811,-35.3476,1
635534,3,7.2435,-8.98487,-33.1658,1
657289,3,8.12706,-8.43646,-35.6492,1
632011,1,5.89938,-7.14608,-35.4139,1
610531,4,2.37818,-13.0161,-30.7194,11
633063,3,2.5339,-9.06673,-30.7963,11
359310,5,0.731362,-11.2242,-30.7713,18
380117,3,3.9453,-10.9581,-31.0304,11
611652,5,5.5983,-12.806,-31.0955,11
613020,4,5.7387,-9.11893,-30.8724,11
633128,2,7.41634,-10.9222,-31.4361,2
640934,5,4.08313,-5.35746,-28.7096,3
636811,2,5.68517,-5.39591,-30.8001,3
636961,2,7.632,-7.06072,-31.0609,3
635408,4,5.90037,-7.23418,-29.0314,3
633976,4,9.42908,-7.12073,-29.3365,3
634588,4,9.57943,-4.90921,-30.453,12
638258,4,0.465983,-1.78026,-28.5997,10
633655,5,2.19973,-1.61642,-30.405,3
661213,5,2.30856,-3.57128,-28.5498,3
638002,5,4.17608,-3.42006,-30.5664,3
658570,2,5.76415,-1.32825,-30.454,4
635013,3,7.57218,-1.33576,-28.6261,12
634859,5,7.46719,-3.54291,-30.1146,12
357114,4,9.53822,-3.00491,-28.744,12
377424,4,0.392166,0.346872,-30.2829,7
633653,2,2.20141,2.20781,-30.3422,9
405905,5,1.93491,4.00946,-28.6005,9
378559,3,3.80611,0.410413,-30.4373,4
660651,1,3.8447,2.3393,-28.467,9
636728,2,0.247887,1.99493,-28.5133,9
379234,3,5.65839,0.503737,-28.6781,7
633287,5,4.00741,-5.14349,-25.5171,3
405277,3,5.98947,-5.35071,-27.2908,3
617001,2,7.99864,-7.03562,-27.1588,3
635945,3,7.85815,-5.07166,-25.3804,3
660085,3,9.47776,-4.91707,-27.3004,12
635607,4,2.21402,-1.56557,-26.774,10
382302,3,2.27975,-3.49174,-25.2244,10
617412,3,4.02929,-1.42516,-25.2056,9
633885,3,5.75345,-3.48881,-25.0933,3
660083,3,7.31232,-1.53864,-25.3125,12
614210,5,9.44503,-3.10664,-25.2971,12
637643,2,9.37782,-1.25807,-26.9481,12
635850,2,0.14642,2.06158,-25.0796,9
635087,5,0.366301,0.125858,-26.8038,7
658965,2,2.04052,2.16105,-26.776,9
657859,2,1.73532,3.9429,-25.0109,9
375981,3,3.93396,0.515876,-26.7863,9
614764,1,5.67851,0.477117,-25.0101,9
630883,2,7.52102,0.361132,-26.808,12
633812,4,1.81025,5.7634,-26.7273,9
634046,5,0.205013,1.94921,-21.5455,6
638524,2,0.236151,0.163865,-23.3712,7
